track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1qE8DOtw7zdXHMgZm20eLM,The Feels,7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,198053,2021-11-12,60,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044
2J0TRU2EDG29qlmxdGa4xa,SCIENTIST,7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,194600,2021-11-12,56,0.786,0.858,11,-3.74,1,0.0675,0.0487,0.0,0.126,0.649,112.999
5jAIouBES8LWMiriuNq170,State Of Grace (Acoustic Version) (Taylor's Version),06HL4z0CvFAxyc27GXpf02,Taylor Swift,6kZ42qRrzov54LcAk4onW9,321640,2021-11-12,67,0.445,0.131,7,-13.778,1,0.0564,0.663,1.57e-06,0.108,0.101,208.918
3oGVx9RBmiYGv5ZCecWLkx,Forever Winter (Taylor's Version) (From The Vault),06HL4z0CvFAxyc27GXpf02,Taylor Swift,6kZ42qRrzov54LcAk4onW9,263533,2021-11-12,70,0.611,0.552,7,-5.828,1,0.031,0.256,0.0,0.134,0.41,116.012
7nWui6jiMM2m9qFmET1Mtj,Ronan (Taylor's Version),06HL4z0CvFAxyc27GXpf02,Taylor Swift,6kZ42qRrzov54LcAk4onW9,264253,2021-11-12,65,0.623,0.279,0,-10.802,1,0.031,0.661,0.0,0.193,0.38,116.04
1KlMpUN2kGjUHzotQ5KMiu,MOONLIGHT,7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,219386,2021-11-12,44,0.807,0.704,5,-5.496,0,0.071,0.0245,0.0,0.0535,0.961,115.995
78vV5Ww5jmY2BF8lHzAN3A,ICON,7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,176160,2021-11-12,43,0.746,0.809,6,-3.571,0,0.0484,0.0338,0.0,0.0756,0.816,149.984
4eEZoKgJBFjMaisskDfXmu,CRUEL,7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,211426,2021-11-12,41,0.84,0.827,9,-2.958,1,0.061,0.0112,0.0,0.151,0.82,124.989
1Gh4fJxW4T9idXKqiMffJ6,LAST WALTZ,7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,170560,2021-11-12,41,0.799,0.772,7,-3.272,0,0.105,0.213,0.0,0.0892,0.61,141.968
5l6GqSxplqnZbLg0LTPQeG,Back To December,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6Ar2o9KCqcyYF9J0aQP3au,293040,2010-10-25,70,0.517,0.606,2,-5.797,1,0.0289,0.0202,0.0,0.324,0.296,141.929
6RE7FVgSlMCHvDRX3lCID2,REAL YOU,7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,187933,2021-11-12,41,0.858,0.831,9,-3.029,0,0.12,0.0977,0.0,0.0453,0.886,119.975
3o2KyQicBiuUDKUKLR2XEm,"HELLO (NAYEON, MOMO, CHAEYOUNG)",7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,183213,2021-11-12,43,0.813,0.638,0,-4.274,0,0.122,0.0363,0.0,0.057,0.544,169.968
5xUJPd7wa2sVsu7TtjmRdn,ESPRESSO,7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,187800,2021-11-12,41,0.656,0.851,7,-2.972,0,0.215,0.065,0.0,0.141,0.752,93.208
300nzoKtNDcwlNCZpF58be,F.I.L.A (Fall In Love Again),7n2Ycct7Beij7Dj7meI4X0,TWICE,51aC8iSMhWlYY6ymv7P8zi,191253,2021-11-12,40,0.756,0.889,11,-3.076,0,0.0945,0.0921,0.0,0.196,0.653,117.971
1n3b9Eekoy3S9ZSZ5DmTW1,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4qgs0gHJBgycj5SKqafFOB,598150,2021-11-18,66,0.585,0.286,0,-10.123,1,0.0312,0.838,0.0,0.115,0.189,93.009
46IZ0fSY2mpAiktS3KOqds,Easy On Me,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,224694,2021-11-19,83,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981
3Kkjo3cT83cw09VJyrLNwX,Oh My God,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,225148,2021-11-19,81,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098
13CVSGLSFl4UxpDVR6u3dq,Strangers By Nature,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,182163,2021-11-19,65,0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,68.004
10ImcQk9tihY1EKMDIbvXJ,To Be Loved,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,403961,2021-11-19,69,0.356,0.176,8,-8.291,1,0.0391,0.843,0.0,0.231,0.289,170.425
2DuPBbS5mIldXnh7Wum8Cy,My Little Love,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,389107,2021-11-19,68,0.339,0.492,1,-10.661,1,0.0559,0.829,0.00377,0.147,0.102,151.865
6v0UJD4a2FtleHeSYVX02A,I Drink Wine,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,376169,2021-11-19,77,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389
6w8ZPYdnGajyfPddTWdthN,Can I Get It,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,210384,2021-11-19,73,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985
09u787BYeYIGd2mFIJ505t,Cry Your Heart Out,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,255278,2021-11-19,65,0.756,0.713,7,-6.917,1,0.102,0.523,3.35e-06,0.248,0.59,125.064
6bGMSP3H9YqkmaLnaJTIoF,Hold On,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,366004,2021-11-19,66,0.366,0.364,0,-7.814,1,0.0433,0.858,1.15e-05,0.165,0.459,165.902
496vIKS2INz840xZaKncvR,All Night Parking (with Erroll Garner) Interlude,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,161829,2021-11-19,68,0.734,0.497,8,-9.666,1,0.166,0.67,2.35e-05,0.194,0.307,127.989
2j3GxEsbNYNeEzz86wDY4J,Love Is A Game,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,403044,2021-11-19,67,0.269,0.591,10,-5.79,0,0.0416,0.453,0.000695,0.0702,0.228,183.793
2c6xRsQBv7pynuhYhWoHxo,Woman Like Me,4dpARuHxo51G3z768sgnrY,Adele,21jF5jlMtzo94wbxmJ18aa,300247,2021-11-19,64,0.594,0.37,4,-10.561,0,0.173,0.749,3.2e-05,0.132,0.329,145.601
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),21UPYSRWFKwtqvSAnFnSvS,Amaarae,4q4rHdKxyCzxuQrPcdjPyC,204763,2021-09-16,78,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02
4fouWK6XVHhzl78KzQ1UjL,abcdefu,2VSHKHBTiXWplO8lxcnUC9,GAYLE,6tUQPKlpR4x1gjrXTtOImI,168601,2021-08-13,82,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932
