track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
18uwL0vNUanqZH0ro2QcOP,comethru,3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,6Whp0T7d1SAt4gDUNkWWD1,181613,2018-09-28,79,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,1xJ7jIK1tT0aVoJw1fPE6r,173306,2019-01-24,80,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861
5S4T2Pdr8qhetF3UhkwuMj,'Di Na Babalik,5HIZU0JzM0AgfItVOm4E08,This Band,7zJxOlHuAGpCC7ZtKHm0Rz,340262,2019-02-03,0,0.358,0.435,10,-7.265,1,0.0349,0.00819,0.000936,0.112,0.14,76.132
6G7DuXoSGeAf6BZivJdEjF,달라달라 DALLA DALLA,2KC9Qb60EaY0kW4eH68vr3,ITZY,2gHd5bCrj42s8nwwXBALd4,199873,2019-02-13,0,0.79,0.853,11,-4.564,0,0.0666,0.00116,4.23e-05,0.329,0.713,125.0
4MmPXbZ5w141AoRUCjYfuF,"214 - Recorded at Kodama Studios, Philippines",6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,5GpbZxL3X1pOeuY9mBgM8o,276769,2019-02-14,0,0.337,0.126,10,-12.154,1,0.0353,0.904,0.00127,0.149,0.131,139.551
7MP2p4bsW7lBGrg48oYSiA,Mitsa (Salamat),4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,3iIogQOIVkQu4fkZCXtfaI,267216,2019-02-14,37,0.441,0.654,9,-7.133,1,0.037,0.143,7.47e-06,0.0669,0.283,121.902
6BxJLJw228OY5BFerPGl7z,Dahan,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,5ZMRUtgLCoeyhrDdRhSXij,297500,2019-02-14,57,0.516,0.529,10,-6.596,1,0.0257,0.318,0.0,0.198,0.295,129.973
5CThcDR9mycL3TjNKQ2qFk,"Pangako - Recorded at Kodama Studios, Philippines",4nGp682WMiKS4X217kPw8C,Silent Sanctuary,6BXhni1J2zzkKWpU0tSZ2A,321486,2019-02-14,44,0.344,0.405,2,-7.739,1,0.0289,0.621,0.136,0.195,0.385,73.667
1NOeZ7ZIVKMebuza26rofd,"Because You Loved Me (Theme from ""Up Close and Personal"")",4S9EykWXhStSc15wEx8QFK,Céline Dion,55UPmpHLvZKGgTPUD1woES,273666,1996-02-28,0,0.614,0.466,1,-9.881,1,0.0327,0.314,0.0,0.099,0.178,119.916
7wCH9DbgRs7ujHeqNy6oAS,You're Still The One,5e4Dhzv426EvQe3aDb64jL,Shania Twain,0vOj0JVKv2bobFBBUTjgQF,212560,1997,0,0.551,0.527,3,-7.119,1,0.0302,0.45,0.0,0.0867,0.642,133.758
48Utf6gNBC9rewCPEvL5ja,Dati - Cover Version,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,5ajVNBy3aMVd2k87LpQIWZ,184912,2018-10-29,45,0.617,0.62,7,-9.698,1,0.0408,0.414,0.0,0.0919,0.569,90.037
