artist_id,artist_name,followers,genres,popularity
11W91yRxIo7Mw75LClgrGx,Lyca Gairanod,32153,"['deep talent show', 'opm']",35
2aiQfmxcWSx7RrqSVbhiFX,Maria Aragon,1033,[],36
7vjoSmk5jVvRXNiKIDMox1,Alisah Bonaobra,4051,[],24
0YaTdozvKSQ2UkOTTONmSJ,Rachelle Ann Go,503876,['opm'],49
6jtan6NPL80JFme8IkFiy7,Janice Javier,2651,[],23
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,2121984,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'vocal jazz']",67
1AwO9pWEBSBoWdEZu28XDC,Eartha Kitt,168042,"['torch song', 'vocal jazz']",49
5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,2364121,"['adult standards', 'jazz', 'jazz blues', 'soul', 'swing', 'vocal jazz']",66
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,6298976,"['dance pop', 'pop']",72
5EUahD2aecNM2phblhyVFi,Bamboo,7134,[],0
26AHtbjWKiwYzsoGoUZq53,Pentatonix,3633519,"['a cappella', 'viral pop']",64
0SG7a26LiFGt8E0olaIOpx,Acapellago,2839,[],11
7AKHnZVqwXYuUwWJ8UGL5q,Girls' Generation-TTS,612961,"['k-pop', 'k-pop girl group']",38
0SCbttzoZTnLFebDYmAWCm,Glee Cast,1524626,"['glee club', 'post-teen pop']",68
65kpH75MFCBJhLy7qvVl6A,Aegis,238745,"['classic opm', 'opm']",45
3wNylAjJX1PiCpMKx8Lrfp,Regine Velasquez,1720146,['opm'],57
35S20clEkkSNUo23ViaslZ,Band Aid,26319,['musical advocacy'],42
4w9rFB4pUAUO3OloDQ6wn7,Jamie Rivera,139773,"['classic opm', 'opm', 'papuri', 'pinoy praise']",44
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,6633458,"['adult standards', 'easy listening', 'lounge']",75
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,3670448,"['boy band', 'pop']",67
0u4G1K1CSzcp5PZ6G6FIGu,Darren Espanto,483548,['opm'],43
3qZNpgS5OAdktfruSjjLeY,Benni Sparks,758,[],11
6Paz0vXJJ9bCPf0fEm3qzg,Dagny,167239,['norwegian pop'],56
0XNvr6bnNywV946ZKaJtr0,Joakim Lundell,134190,['swedish pop'],40
0lslA51eKXwTUY0TSX9Emy,Marion Aunor,34973,['opm'],36
5Xcbv83o11Ez2XPHa1n8Pf,AmPm,53476,['japanese dance pop'],40
62Jfwxon19ZOT9eSL6bvtY,Sweater Beats,43017,"['gauze pop', 'vapor twitch']",39
2TX325jFbZFpe2OGZNo4Lx,Markus,4384,['pinoy singer-songwriter'],23
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,5195893,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']",73
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,29161040,"['r&b', 'soul']",81
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,2658223,"['pop rap', 'seattle hip hop']",73
2JLqTvFXmC87BksiCsBezV,Matt Terry,128030,['talent show'],40
1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,1203280,['opm'],61
3xbpJdoJDLAfYn3ZeLlukg,Bosx1ne,157471,"['pinoy hip hop', 'pinoy r&b', 'tagalog rap']",54
2U5mF0PZqGu6glnz55yY0y,John Roa,1477836,"['opm', 'p-pop']",60
6U1dBXJhC8gXFjamvFTmHg,Zac Efron,795175,"['hollywood', 'movie tunes', 'post-teen pop']",67
0touaoSr4QOLYxBJ9lmGgK,Karencitta,140013,"['pinoy edm', 'pinoy r&b', 'pinoy trap']",36
7HV2RI2qNug4EcQqLbCAKS,Keala Settle,154568,"['broadway', 'hollywood', 'show tunes']",62
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,3671400,"['irish rock', 'pop rock', 'rock']",73
17Do37U0HEbxu1tOrKH8dL,Nadine Lustre,239048,"['opm', 'p-pop', 'pinoy r&b']",49
6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,1715285,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap']",62
4WN5naL3ofxrVBgFpguzKo,Rudimental,1385560,"['pop dance', 'uk dance', 'uk funky']",68
3mPc8WGusz2XF3Tvs3AKCR,Carlie Hanson,480596,['alt z'],52
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,5556705,['pop'],71
0LyOADBjj28cbvJWTXUEGA,Loren Allred,147575,"['deep talent show', 'hollywood', 'movie tunes']",57
2cQr2KbzdRtIFlfbHGnNsL,Ziv Zaifman,12152,['show tunes'],54
5F1aoppMtU3OMiltO8ymJ2,Hugh Jackman,582898,"['hollywood', 'show tunes']",65
4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,2805047,"['opm', 'p-pop', 'pinoy trap']",63
2LAqcqAQ8KPTsl1HBgBrqM,Michelle Williams,10740,['hollywood'],57
6Y20PijIkUoCtuvtkz37dO,Austyn Johnson,7025,['show tunes'],45
0vqJkZ0RpLZixt3lTmD8vP,Whethan,272104,"['electropop', 'hyperpop', 'indie electropop', 'indie poptimism', 'rage rap', 'vapor twitch']",66
6k0IBR0lU42s2GYpNX7kA9,Brian McKnight,1475545,"['contemporary r&b', 'quiet storm', 'r&b', 'urban contemporary']",58
3NRFinRTEqUCfaTTZmk8ek,Savage Garden,1215976,"['boy band', 'dance pop', 'pop rock']",63
4am1I89OWXUzFh4ctRLkdd,Elliott Yamin,121829,['idol'],42
2NzWRNaaLByHyI3wpuec8P,Jim Brickman,123468,"['new age', 'new age piano']",54
4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,1389472,"['memphis hip hop', 'rap', 'tennessee hip hop', 'trap']",58
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,4629849,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",71
28ExwzUQsvgJooOI0X1mr3,Jay Rock,1455443,"['conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",71
4qFxP3qN9GsnZDOkAE6x2m,December Avenue,6174873,"['opm', 'pinoy pop punk']",64
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,9737406,"['boy band', 'pop']",77
6ueGR6SWhUJfvEhqkvMsVs,Janelle Monáe,1416106,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'neo soul', 'r&b']",68
23zg3TcAtWQy7J6upgbUnj,USHER,10872837,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",79
0b1sIQumIAsNbqAoIClSpy,j-hope,16265754,"['k-pop', 'k-rap']",71
38CvLGTsjtoloDgv3OKQp8,Robinson,110886,"['alt z', 'nz pop']",44
3Hvxz2oZPYuo61ChHKcqQI,Autotelic,221935,"['opm', 'pinoy indie', 'pinoy rock']",39
5RR0MLwcjc87wjSw2JYdwx,MOMOLAND,4071402,"['k-pop', 'k-pop girl group']",53
6beUvFUlKliUYJdLOXNj9C,King Princess,1723855,"['alt z', 'indie pop', 'nyc pop']",58
3Isy6kedDrgPYoTS1dazA9,Sean Paul,4538225,"['dance pop', 'dancehall', 'pop', 'pop rap']",79
4mrrcDjpjUq27YEGwlisgs,Gracenote,42467,"['opm', 'pinoy indie', 'pinoy rock']",39
1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,1967770,"['comedy rap', 'indie pop rap', 'pop rap']",59
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,655726,['israeli pop'],65
33W1pnW9zScZtYTnAoWnOT,Mr. Probz,335667,['pop dance'],62
5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,823870,"['hip hop', 'virginia hip hop']",55
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,3157140,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",68
5jAMCwdNHWr7JThxtMuEyy,NOTD,296996,"['pop dance', 'pop edm']",63
