track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5xhJmd0I15jFcEdqxfCzKk,It Won't Kill Ya,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,4JPguzRps3kuWDD5GS6oXr,217613,2017-04-07,55,0.572,0.53,6,-8.521,0,0.0654,0.0647,0.000169,0.127,0.12,170.138
1KeZgPUr54C8iz3FjqzVoz,Young,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,4JPguzRps3kuWDD5GS6oXr,224773,2017-04-07,60,0.615,0.564,9,-6.384,1,0.0291,0.0105,0.0,0.148,0.454,103.006
0dj1CtyRxZ4bnIT4Q20jNT,Wake Up Alone,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,4JPguzRps3kuWDD5GS6oXr,215720,2017-04-07,49,0.643,0.52,9,-5.968,0,0.0334,0.0102,0.0,0.11,0.23,75.168
3Qqsr0Xu0Ts6AaC1XqMFC8,It Was Love,49tQo2QULno7gxHutgccqF,LANY,0HiwsXForePsWdIZW6EEkK,228301,2017-06-30,46,0.439,0.721,10,-7.017,1,0.0777,0.0265,0.000113,0.0853,0.438,137.987
6GeD5g9vZTz25Egf8kxoIY,Last Day Alive,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,4JPguzRps3kuWDD5GS6oXr,214306,2017-04-07,49,0.435,0.706,0,-8.197,1,0.0425,0.0571,4.15e-05,0.0903,0.24,144.913
5pvVAwQbuFoR7LkcicrKnk,Obsession (feat. Jon Bellion),0q4NrXqJnc367PieejuROJ,Vice,1tNNLyic2SQvmn4UNa93lr,221982,2017-03-09,47,0.741,0.559,10,-7.775,1,0.03,0.00728,0.000971,0.21,0.466,101.999
4ZJPwET9Jrgpkqi4Vo3Yg8,Bad Bitch (feat. Ty Dolla $ign),64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,2rBHhp9tNShxTb529Hi5AS,197253,2017-02-16,60,0.656,0.615,5,-6.252,1,0.0539,0.0283,0.0,0.234,0.366,139.91
6HZILIRieu8S0iqY8kIKhj,DNA.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,185946,2017-04-14,81,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913
6SwRhMLwNqEi6alNPVG00n,LOYALTY. FEAT. RIHANNA.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,227360,2017-04-14,79,0.658,0.535,9,-8.983,0,0.0573,0.0265,0.0,0.2,0.419,110.684
1EaKU4dMbesXXd3BrLCtYG,ELEMENT.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,208733,2017-04-14,72,0.748,0.705,4,-4.547,0,0.485,0.204,0.0,0.246,0.483,189.891
1n4jwRVXdkK2U34nBDUKKT,BLOOD.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,118066,2017-04-14,63,0.357,0.238,8,-16.78,0,0.265,0.142,0.0859,0.55,0.494,156.907
2LTlO3NuNVN70lp2ZbVswF,FEEL.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,214826,2017-04-14,68,0.746,0.798,0,-8.382,1,0.349,0.137,0.0,0.139,0.553,109.968
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,213400,2017-04-14,85,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058
4BHSjbYylfOH5WAGusDyni,YAH.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,160293,2017-04-14,67,0.67,0.7,1,-7.893,1,0.196,0.576,5.34e-06,0.226,0.648,69.986
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,275253,2017-04-14,85,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842
4iYRa2btalAzPZoSYfROqF,XXX. FEAT. U2.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,254200,2017-04-14,69,0.568,0.619,1,-6.899,1,0.414,0.138,1.67e-06,0.11,0.293,170.115
06FCvd7rrRcF3DdvWH5Isp,LUST.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4eLPsYPBmXABThSJ821sqY,307880,2017-04-14,66,0.678,0.562,3,-9.197,0,0.508,0.193,0.0,0.104,0.566,94.241
3Q3myFA7q4Op95DOpHplaY,do re mi,2cFrymmkijnjDg9SS92EPM,blackbear,30QoUTsSdpQuZunPNFsLnm,212027,2017-04-21,1,0.745,0.593,8,-6.35,1,0.0526,0.00522,5.25e-06,0.123,0.17,111.002
51PIvodunv6NmX5250zxAh,The Cure,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,7Bh5oQckPzHqO7GHVGY5LE,211363,2017-04-16,0,0.696,0.503,8,-4.842,1,0.0356,0.0745,0.0,0.0869,0.559,99.977
2YMyVYNLmFDD0KGtNkkgFa,Kissing Strangers,6T5tfhQCknKG4UnH90qGnz,DNCE,06gn37D7SVYKofXqDneiTp,202480,2017-04-14,0,0.776,0.741,7,-5.804,1,0.041,0.0506,0.0,0.0701,0.854,120.079
5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,3smvpv7CdrhVcGYaNDLOqn,228826,2017-04-17,2,0.694,0.815,2,-4.328,1,0.12,0.229,0.0,0.0924,0.813,88.931
3QWjljChcOMkRDYSzF33Qr,Whippin (feat. Felix Snow),4u5smJBskI6Adzv08PuiUP,Kiiara,5PK9tQ7Ou1AvIww8zRn3SL,160596,2017-04-12,48,0.87,0.502,5,-7.497,0,0.0549,0.549,0.00356,0.0916,0.673,82.53
0w5Bdu51Ka25Pf3hojsKHh,Hard Times,74XFHRwlV6OrjEM0A2NCMF,Paramore,1c9Sx7XdXuMptGyfCB6hHs,182693,2017-05-12,76,0.695,0.818,5,-5.379,0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965
79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,5yYFrOnqG8cEciKnsxHz2r,199440,2017-04-20,0,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996
4ub59HeXqdYApJtkJqnvXE,I'll Never Go,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,6qw65dN51ZBeGHCDIzNuHd,263056,2016-01-01,7,0.454,0.323,11,-11.965,1,0.0327,0.723,0.0,0.0855,0.28,139.89
4iLqG9SeJSnt0cSPICSjxv,Attention,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,0t0NkQulrNkxw2oUZZHboA,211475,2017-04-20,1,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041
5LYQSNHZxEA880URXFHg6h,Lust for Life (with The Weeknd),00FQb4jTyendYWaN8pK0wa,Lana Del Rey,36HlMFtb9FiBpglTJqZUmZ,264011,2017-04-19,0,0.499,0.676,0,-8.618,0,0.0582,0.588,0.00484,0.358,0.295,99.979
6mORGLOz79w6VsCRLWYYuK,The Night We Met,6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,1SUC3BzNqa5Kna2bZAsAK8,208211,2015-04-06,2,0.443,0.369,9,-9.514,1,0.0441,0.969,0.277,0.638,0.0989,174.107
3qyeNnFY67zX6VmmIbzPsL,Body to Body,6lB8vOoI4DRrrVxXwuV19c,Mike Perry,4nCftrm5v7amR0TGNVrB2F,178634,2017-04-21,0,0.537,0.749,8,-4.725,1,0.109,0.0119,0.0,0.154,0.299,100.088
3dWOuReL6DhczDfhsYXxat,Plot Twist,4TrraAsitQKl821DQY42cZ,Sigrid,1fUJMrFtZMbtDS8c2dklb2,205133,2017-05-05,0,0.586,0.666,1,-5.988,1,0.0358,0.00282,0.228,0.283,0.193,88.034
2meEAmZCXr2dud0RRYyfZt,Kaibigan Mo,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,2MCThGZYlAQRw3HDjkIODU,250133,2015-12-04,0,0.53,0.534,0,-8.434,1,0.0347,0.652,0.0,0.118,0.476,139.895
3DXncPQOG4VBw3QHh3S817,I'm the One,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,4JBZ0QHveEpESepanNBG8A,288600,2017-06-22,74,0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924
